company,date,deadline,positions,note,apply_url,notice_url,types,industries,locations,grades,exam
罗克韦尔自动化,2026-08-01,招满为止,自动化软件工程师、控制系统工程师,罗克韦尔自动化(中国)及软件(大连)持续招聘，软件/控制对口,https://m.yingjiesheng.com/job-007-968-867.html,https://jdjyw.jlu.edu.cn/mportal/company/details?id=fe18e2365b604651aa2f9e0c9f30a3f6,校园招聘|社招,工业自动化|工业软件,大连|西安|上海,2026届|2027届,
横河电机,2026-08-01,招满为止,控制/自动化工程师、DCS工程师、仪表工程师,横河电机(中国)校招入口，DCS/过程控制对口,https://app.mokahr.com/campus-recruitment/hhdj/58086#/,https://www.yokogawa.com/cn/about/careers/hr/,校园招聘|社招,工业自动化|过程控制(DCS/仪表),上海,2027届,
宝信软件,2026-08-01,招满为止,自动化工程师、工业软件/智能制造工程师,宝信软件及安徽宝信2026届校招持续，工业软件与智能制造对口,https://yun.ahbys.com/job2.html?jid=52076&cid=17320,https://mp.weixin.qq.com/s/uh0Dz7cVR8BGTAMKgM9FUg,校园招聘,工业软件|工业自动化|智能制造,上海|马鞍山,2026届|2027届,
中冶赛迪,2026-08-01,招满为止,智能化信息化工程师、自动化工程师,中冶赛迪2026校招含智能化信息化类岗位，自动化对口,https://msearch.51job.com/jobs/chongqing-ljxq/167752427.html,,校园招聘,工业自动化|冶金工程/智能制造,重庆|上海,2026届|2027届,
金风科技,2026-08-01,招满为止,控制算法工程师、风电电控/自动化工程师,金风科技校招进行中，子公司河北金风电控2027届秋招宣讲会已启动,https://m.yingjiesheng.com/xuanjianghui/xjh_6252298,https://career.hebut.edu.cn/correcruit/content/id/77352.html,校园招聘,风电/新能源|工业自动化,北京|乌鲁木齐|河北,2026届|2027届,
大疆创新,2026-08-04,招满为止,控制算法工程师、运动控制算法、飞控算法、传感器融合、嵌入式（机器人方向）,2027「拓疆者」校招开启，约46岗覆盖算法/硬件/芯片，北上深有岗,https://we.dji.com,http://www.offcn.com/gqzp/2026/0804/251151.html,校园招聘|秋招,无人机|机器人,深圳|北京|上海,2027届,
宇树科技,2026-07-30,招满为止,机器人运动控制、足式/人形机器人控制算法、强化学习、嵌入式控制、电机/伺服控制,宇树科技2027年校园招聘已启动，人形/足式机器人控制为核心对口方向,https://www.unitree.com/,https://www.job.sjtu.edu.cn/career/zpxx/view/zpxx/194501126714953728,校园招聘,机器人|具身智能,杭州,2027届,
智元机器人,2026-07-17,招满为止,人形机器人运动控制、具身智能、强化学习、灵巧手/伺服控制、嵌入式控制,智元2027届校园招聘全面启动，人形机器人整机控制/具身智能对口,https://www.agibot.com/,https://career.nankai.edu.cn/correcruit/content/id/116382.html,校园招聘,机器人|具身智能,上海,2027届,
追觅科技,2026-08,招满为止,SLAM算法、机器人感知/控制算法、嵌入式软件,扫地机器人/智能清洁头部公司，SLAM与嵌入式为核心,,https://www.quanzhi.com/notice/68618b7491a306c224d1d555,校园招聘,机器人,苏州|上海,2027届,
科沃斯机器人,2026-08,招满为止,SLAM算法、机器人导航算法、传感器算法,科沃斯校招进行中，招聘城市苏州；含算法工程师-SLAM/传感器岗,,https://campus.niuqizp.com/job-vU85LnMZ5.html,校园招聘,机器人,苏州,2027届,
石头科技,2026-08,招满为止,机器人算法（SLAM/规划/控制）、感知算法、嵌入式,石头科技校招算法类岗位为主，扫地机器人头部公司,,https://job.bit.edu.cn/frontpage/bit/html/recruitmentinfoForm.html?positionDetailId=488004a454984473bd8c1a4fa3b29289,校园招聘,机器人,北京|上海|深圳,2027届,
越疆机器人,2026-08,招满为止,机器人算法工程师、伺服算法工程师、运动控制,越疆2027届校招含机器人算法工程师（深圳），社招含伺服算法工程师,,https://campus.niuqizp.com/job-vlr5ZCNLz.html,校园招聘,机器人,深圳,2027届,
节卡机器人,2026-08,招满为止,控制算法工程师、控制器软件开发工程师、运动控制,协作机器人头部公司，社招为主，控制器软件开发（上海）等控制对口岗,,https://msearch.51job.com/jobs/shanghai-mhq/171684973.html,社招,机器人,上海,,
优必选,2026-08,招满为止,运动控制算法、伺服软件工程师、机器人算法工程师,优必选2027届校招含伺服软件工程师等，深圳/北京,,https://campus.niuqizp.com/job-vmk55nMtZ.html,校园招聘,机器人,深圳|北京,2027届,
云深处科技,2026-05-24,招满为止,足式机器人运动控制、运动规划、步态控制算法,云深处2027全球校招启动，四足/足式机器人，运动控制为核心方向,https://app135149.eapps.dingtalkcloud.com/campus-recruitment/yunshenchu/100000136,https://news.qq.com/rain/a/20260524A094PD00,校园招聘,机器人,杭州,2027届,
松灵机器人,2026-08,招满为止,机器人算法、运动控制、底盘控制、技术支持,松灵(AgileX)移动底盘/无人驾驶平台公司，2027届校招，算法与底盘控制方向对口,,https://campus.niuqizp.com/job-vrr5tCtM5.html,校园招聘,机器人,深圳|东莞,2027届,
拓竹科技,2026-08-07,招满为止,运动控制、电机控制、伺服、嵌入式控制,拓竹2027届研发类提前批启动，开放超100岗位，控制/电机/嵌入式对口,https://bambulab.jobs.feishu.cn/campus/page-yJLBmj,https://wtu.91wllm.cn/news/view/aid/298949,提前批|校园招聘,机器人|3D打印,深圳|上海,2027届,
普渡科技,2026-08,招满为止,机器人规划/控制算法、SLAM、运动控制,普渡2027届校招及2028届实习生项目启动，商用服务机器人,,https://career.sysu.edu.cn/campus/view/id/996271,校园招聘,机器人,深圳,2027届,
丰疆智能,2026-08,招满为止,自动驾驶规控、导航控制、运动控制、嵌入式,农业机器人/自动驾驶，多地设岗，导航规控与控制方向对口,,https://m.yingjiesheng.com/job-007-966-548.html,校园招聘,机器人|农机自动驾驶,深圳|南京|武汉|西安|福州,2026届|2027届,
极智嘉,2026-08,招满为止,运动控制算法工程师、操作算法工程师,仓储物流机器人龙头，明确招运动控制算法工程师（北京/合肥）,https://app.mokahr.com/campus_apply/geekplus/165879,https://jobs.niuqizp.com/schedule-hm88raM5L.html,校园招聘|社招,机器人,北京|合肥,2027届,
库犸科技,2026-08,招满为止,规控算法工程师、运动控制、路径规划、机器人控制,库犸科技(Mammotion)智能庭院/割草机器人头部，2027提前批含规控算法工程师（深圳）,https://jobs.mammotion.cn,https://jobs.mammotion.cn/campus_recruitment/position/7659706477493684489/detail,提前批|校园招聘,机器人|智能庭院/割草机器人,深圳,2027届,
比亚迪,2026-07-28,招满为止,整车控制、底盘控制、电机控制、标定、智能驾驶规控算法,比亚迪2027届秋招提前批已启动，整车/底盘/电机控制等方向，官网可投,https://job.byd.com/,http://job.hust.edu.cn/zpinfo1/2407093.htm,提前批|校园招聘,汽车|智能驾驶,深圳|西安|长沙|上海|北京,2027届,
蔚来汽车,2026-07,招满为止,自动驾驶规控算法、底盘控制、整车控制、电机控制、标定,蔚来2027届技术提前批校园招聘启动，覆盖自动驾驶规控/底盘控制等技术岗,https://nio.jobs.feishu.cn/campus/,https://www.nowcoder.com/feed/main/detail/22d3988cf9ce48c7a820d0a2a734750c,提前批|校园招聘,汽车|智能驾驶,上海|北京|合肥,2027届,
理想汽车,2026-08,招满为止,自动驾驶规控/控制算法、底盘控制、整车控制、电机、车辆动力学、决策规划,理想2027届顶尖技术人才专项「理想+」计划及2027校园招聘启动，规控/底盘方向对口,https://www.lixiang.com/,https://career.nankai.edu.cn/correcruit/content/id/116499.html,校园招聘|提前批|顶尖人才专项,汽车|智能驾驶,北京|上海|深圳|香港,2027届,含免笔试
小鹏汽车,2026-08,招满为止,自动驾驶规控算法、底盘控制、整车控制,小鹏2027届「探索者计划」全球校园招聘启动,https://xiaopeng.jobs.feishu.cn/campus,http://career.csu.edu.cn/job/view/id/1188543,校园招聘,汽车|智能驾驶,广州|北京|上海|深圳,2027届,
华为技术有限公司,2026-08,招满为止,智能车控/底盘控制/规控算法/传感器融合（车BU引望）+ 海思芯片/嵌入式软件/硬件（海思/2012实验室）,华为智能汽车解决方案BU(引望)与海思/2012实验室2027届校招及实习生岗位已发布，官方招聘页投递,https://career.huawei.com/,https://campus.niuqizp.com/job-vrk5Zz5aa.html,校园招聘|实习生,智能驾驶|汽车|半导体|嵌入式,上海|东莞|深圳|杭州|武汉|北京|南京|苏州|西安|成都,2027届,需要笔试
禾赛科技,2026-07,招满为止,激光雷达算法、传感器融合、机器人动力系统、雷达研发、标定,禾赛科技2027届秋招提前批启航，激光雷达算法/传感器融合/机器人动力系统方向,https://kwh0jtf778.jobs.feishu.cn/229043,https://job.nwpu.edu.cn/frontpage/nwpu/html/recruitmentFairForm.html?id=1fc77b2176fd4d45a1ee87a43765bf41,提前批|校园招聘,激光雷达|智能驾驶,上海|杭州|西安,2027届,
速腾聚创,2026-07,招满为止,激光雷达算法、传感器融合、硬件/电子、机器人,速腾聚创2027届提前批启动（RoboSense全球校招），深圳/上海,https://www.robosense.ai/,http://job.neu.edu.cn/campus/view/id/562332,提前批|校园招聘,激光雷达|智能驾驶,深圳|上海,2027届,
图达通,2026-08,招满为止,激光雷达算法、传感器融合,图达通(Innovusion)2027届校招信息已发布，激光雷达算法/传感器融合方向,https://www.innovusion.com/,https://jy.scu.edu.cn/index/index/newsdetail.html?data=MDAwMDAwMDAwMJG6n3_Ed6imi4qQtMOfeZuKk7bOyGHRp7ugzc-GnZ2skMx9ZMN4gtKLipCwxKF0lZC5sq-0gqJv,校园招聘,激光雷达|智能驾驶,苏州,2027届,
Momenta,2026-07,招满为止,规控算法、决策规划、端到端大模型、世界模型,Momenta 2027 Mstar顶尖人才计划全球招聘启动，规控/决策规划/端到端方向,https://momenta.jobs.feishu.cn/campus/position/list,https://cqu.cqbys.com/campus/view/id/731902,校园招聘|秋招,智能驾驶,深圳|上海|北京|苏州|广州,2027届,
文远知行,2026-08,招满为止,决策/控制/运动规划算法、规控算法、传感器融合,文远知行2027届校招启动，含决策/控制/运动规划算法工程师，广州/深圳/武汉,https://app.mokahr.com/campus_apply/jingchi/2137#/jobs,https://campus.niuqizp.com/job-vs85zn5Cz.html,校园招聘,智能驾驶|自动驾驶,广州|深圳|武汉|北京|上海,2027届,
小马智行,2026-06,招满为止,运动规划、规划控制、端到端、决策、深度学习/强化学习,小马智行2027届实习生提前上岸/校招启动，运动规划/规划控制/端到端方向,https://ponyai.jobs.feishu.cn/campus,https://campus.niuqizp.com/job-vwY5tZ5Lt.html,实习生|校园招聘,智能驾驶|自动驾驶,北京|广州|上海,2027届,
地平线机器人,2026-08,招满为止,规控算法、规划控制、底盘、传感器融合、端到端自动驾驶、嵌入式/算子,地平线2027届秋季校园招聘启动，规控/规划算法为控制硕士核心对口方向,https://www.horizon.cc/,https://leetcode.cn/discuss/post/U4KgmH/,秋招|校园招聘,智能驾驶|汽车芯片|人工智能,北京|上海|深圳|成都|南京|杭州,2027届,需要笔试
元戎启行,2026-07,招满为止,规划控制、感知算法、端到端,元戎启行2027秋季校园招聘启动，base深圳/北京/上海，规划控制方向,https://www.deeproute.ai/,https://job.lzu.edu.cn/html/74/article/2026/90487.html,秋招|校园招聘,智能驾驶|自动驾驶,深圳|北京|上海,2027届,
博世中国,2026-08,招满为止,底盘控制、标定、电机控制、VCU、自动驾驶软件,博世中国创新与软件开发中心2027校园招聘（无锡）已开启，含底盘控制/标定/电机控制方向,https://careers.bosch.com.cn/,https://campus.niuqizp.com/job-v8U5zMnML.html,校园招聘,汽车零部件|智能驾驶,无锡|上海|苏州|杭州,2027届,
采埃孚,2026-08,招满为止,标定、底盘、电驱控制、动力总成,采埃孚中国2027届校招/社招，标定/底盘/电驱控制方向,https://www.zf.com/china/zh/careers/careers.html,https://www.zf.com/china/zh/careers/careers.html,校园招聘|社招,汽车零部件,上海|北京|苏州|杭州,2027届,
小米集团,2026-08-11,招满为止,机器人控制、运动控制、强化学习、具身智能算法、智能驾驶规控、嵌入式控制,小米2027届全球校招已启动，AI相关岗位需求同比增长50%，含具身智能&智能驾驶专项,https://campus.xiaomi.com/,https://24365.cq.smartedu.cn/campus/view/id/731431/mark/cqwu,校园招聘|提前批|顶尖人才计划,互联网|人工智能|具身智能|智能汽车,北京|上海|武汉|深圳|南京,2027届,需要笔试
字节跳动,2026-08,招满为止,具身智能算法研究员、机器人控制、运动控制、强化学习、具身智能大模型,字节Seed 2027届大模型人才校招启动，另有机器人算法专家社招；控制岗以具身智能/机器人方向为主,https://jobs.bytedance.com/campus,https://seed.bytedance.com/zh/blog/bytedance-seed-2027-foundation-model-campus-recruitment-is-now-open-internships-included,校园招聘|提前批,互联网|人工智能|具身智能,北京|上海|深圳|杭州,2027届,需要笔试
商汤科技,2026-07-24,招满为止,自动驾驶规控/决策规划、具身智能控制、机器人算法、SLAM,商汤「无限原力」顶尖人才计划招募启动，含自动驾驶与具身智能方向,https://hr.sensetime.com/,https://career.nankai.edu.cn/correcruit/content/id/116342.html,校园招聘|提前批|顶尖人才计划,人工智能|具身智能|自动驾驶,北京|上海|深圳,2027届,需要笔试
旷视科技,2026-08,招满为止,机器人控制、SLAM/定位、嵌入式控制、运动控制,旷视发布校招+社招四大类热招岗位合集，含机器人/自动驾驶方向,https://www.megvii.com/,https://mp.weixin.qq.com/s?__biz=MzU4NTkwMDM1NA==&mid=2247495972&idx=1&sn=5bde7865b1f905a0caf964fa9f19f161,校园招聘|社招,人工智能|机器人,北京,2027届,
百度,2026-07-28,招满为止,自动驾驶规控/决策规划算法、端到端自动驾驶、控制算法、强化学习,百度IDG智能驾驶事业群组2027届校招进行中，含端到端自动驾驶算法研究员岗,https://talent.baidu.com/,https://job.lzu.edu.cn/html/74/article/2026/90333.html,校园招聘|秋招,互联网|人工智能|自动驾驶,北京|上海|广州|深圳,2027届,需要笔试
腾讯,2026-08,招满为止,Robotics X机器人具身智能研究员（操作/控制方向）、运动控制、强化学习,腾讯Robotics X主要走社招，招聘机器人具身智能研究员(操作方向)，工作地深圳,https://careers.tencent.com/,https://s.niuqizp.com/s_social_Robotics%20X-%E6%9C%BA%E5%99%A8%E4%BA%BA%E5%85%B7%E8%BA%AB%E6%99%BA%E8%83%BD%E7%A0%94%E7%A9%B6%E5%91%98-%E6%93%8D%E4%BD%9C%E6%96%B9%E5%90%91/?ur=article,社招,互联网|具身智能|机器人,深圳,,需要笔试
美团,2026-08,招满为止,无人机控制/规划控制、自动配送机器人、SLAM、强化学习、嵌入式控制,美团2027届秋招提前批与「北斗计划」已开启，无人机/自动配送方向对控制类专业对口,https://campus.meituan.com/,https://job.lzu.edu.cn/html/74/article/2026/89108.html,校园招聘|提前批|秋招,互联网|无人机|机器人,北京|深圳|上海|广州|香港,2027届,含免笔试
蚂蚁集团,2026-08-11,招满为止,具身智能/机器人算法、AI算法工程师,蚂蚁星Plan A顶尖人才专项2027届启动，控制类直接对口岗位较少，需按「机器人/具身智能」筛选,https://talent.antgroup.com/,https://job.xjtu.edu.cn/frontpage/xjtu/html/newsDetail.html?id=e6bbc289c9774bb89ce024f0a4007924,校园招聘|提前批|顶尖人才计划,互联网|人工智能,杭州|北京|上海|深圳,2027届,含免笔试
国电南瑞,2026-08,招满为止,电网调度自动化、继电保护、配电自动化、嵌入式软件,南瑞集团（国电南瑞母公司）2027校园招聘，具体岗位与截止以官方招聘系统为准,,https://www.gwy.com/gqzp/411471.html,校园招聘,电力/能源|嵌入式,南京,2027届,需要笔试
南瑞继保,2026-04-27,招满为止,继电保护、电网自动化、电力电子控制,南瑞继保2027届实习生（可转正）招聘，正式秋招以官方为准,,http://www.offcn.com/gqzp/2026/0427/234368.html,实习生招聘,电力/能源|嵌入式,南京,2027届,需要笔试
许继电气,2026-08,招满为止,继电保护、电网自动化、电力电子控制、嵌入式,许继（中国电气装备）官方校招入口，2027届岗位以官网最新公告为准,https://xjec.com/contact/campus/,https://job.hust.edu.cn/zpinfo1/2327188.htm,校园招聘,电力/能源,许昌|郑州,2027届,需要笔试
四方股份,2026-08,招满为止,继电保护、电网自动化、配电自动化、嵌入式软件,四方股份2027届校招提前批正式启动，多城市有岗,,https://ccnu.91wllm.cn/campus/view/id/1000963,提前批,电力/能源|嵌入式,北京|保定|西安|南京|武汉|湖州|乌鲁木齐,2027届,需要笔试
特变电工,2026-08,招满为止,电力电子控制、电气自动化、变压器/变流器研发,特变电工旗下沈阳变压器、天津变压器等子公司校招，岗位以官方招聘页为准,,https://career.buaa.edu.cn/frontpage/buaa/html/recruitmentinfoForm.html?positionDetailId=05c9f8139b834d239d569b27975ef6a8,校园招聘,电力/能源,昌吉|沈阳|衡阳|天津,2027届,
宁德时代,2026-08,招满为止,BMS电池管理系统、电机控制、储能系统控制、嵌入式软件,宁德时代2027届校园招聘宣讲会启动，BMS/储能/电机控制为控制对口方向,https://talent.catl.com,https://qc.lvu.edu.cn/2b/09/c2389a76553/page.htm,校园招聘,电力/能源|嵌入式,宁德|上海|厦门|溧阳|宜宾,2027届,
中国中车,2026-08,招满为止,牵引电机控制、电力电子变流控制、嵌入式软件、轨道交通电气,中国中车2027校园招聘，官网入口crrc.hotjob.cn，旗下株洲所/青岛四方招控制对口岗,https://crrc.hotjob.cn/,https://www.gwy.com/gqzp/409810.html,校园招聘,电力/能源|嵌入式,株洲|青岛|北京|长春|大连,2027届,需要笔试
汇顶科技,2026-08,招满为止,嵌入式软件、数字IC设计/验证、固件、传感器算法,汇顶科技2027届校园招聘进行中，深圳/上海/成都/武汉有岗,,https://job.xjtu.edu.cn/frontpage/xjtu/html/recruitmentinfoForm.html?positionDetailId=02d0643df99e4f61b666f33833de9aca,校园招聘,半导体|嵌入式,深圳|上海|成都|武汉,2027届,
兆易创新,2026-08,招满为止,嵌入式软件、存储控制器、模拟IC设计、MCU应用,兆易创新2027校园招聘提前批，武汉等地有岗,,https://sdwz.91job.org.cn/recruitment/jobDetails?zpgwid=1000000000728687&dwid=650192,提前批,半导体|嵌入式,北京|上海|深圳|合肥|武汉,2027届,
韦尔股份,2026-08,招满为止,CMOS图像传感器(CIS)模拟IC、嵌入式软件、硬件工程师、测试,豪威集团(韦尔股份)27届秋招，上海/北京等多城市；控制方向可投硬件/嵌入式,,https://campus.niuqizp.com/schedule-7kw8NLCLC.html,校园招聘,半导体,上海|北京|深圳|武汉|成都|天津,2027届,
卓胜微,2026-08,招满为止,射频芯片设计、模拟IC设计、芯片测试、产品工程师,卓胜微2026届春招/2027届校招，无锡、成都为主，射频/模拟方向,,https://campus.niuqizp.com/job-vkl5tCzZn.html,校园招聘,半导体,无锡|成都,2026届|2027届,
中芯国际,2026-08-13,招满为止,设备工程师、工艺工程师、自动化/机台控制,中芯国际2027届校园招聘正式启动，设备/工艺岗为控制类对口方向,,https://job.lzu.edu.cn/html/74/article/2026/90768.html,校园招聘,半导体,上海|北京|天津|深圳,2027届,需要笔试
华虹半导体,2026-08,招满为止,设备工程师、工艺整合、自动化控制,华虹集团2027届校园招聘（芯大使招募），官方投递入口mokahr,https://app.mokahr.com/m/campus-recruitment/huahong/78009,https://www.sohu.com/a/1060130129_121124005,校园招聘,半导体,上海|无锡|成都,2027届,需要笔试
北方华创,2026-07-11,招满为止,半导体设备控制、电气控制、软件（设备控制）、自动化,北方华创2027届校招提前批启动，北京/上海等全国多地有岗,,https://m.zggqzp.com/2026/zpxx_0711/402852.html,提前批,半导体|嵌入式,北京|上海|苏州|武汉|西安|合肥,2027届,
中微公司,2026-08,招满为止,半导体设备控制软件、电气控制、工艺,中微公司2027登峰计划博士提前批及2027届实习生招聘,,https://campus.niuqizp.com/job-vmy5zMaNL.html,提前批,半导体,上海|南昌,2027届,
中国航天科技集团,2026-06-30,招满为止,制导导航与控制(GNC)、飞行控制、伺服系统、火控、航天器控制系统、自动化测试,航天科技2027届星辰英才计划校招提前批，控制类对口下属一/五/八院控制系统单位,,http://m.zggqzp.com/2026/zpxx_0630/400750.html,提前批|校园招聘,航空航天|军工/国防|科研院所,北京|上海|西安|成都|保定,2027届,
航天一院,2026-06-08,招满为止,运载火箭制导控制、伺服系统、火控、GNC,航天一院(运载火箭技术研究院)2027年校园招聘，火箭总体与控制相关,,http://sa.zgsydw.com/zhaopin/20260608/79049_1.html,校园招聘,航空航天|军工/国防|科研院所,北京,2027届,
航天五院502所,2026-07-21,招满为止,空间智能控制体系设计、卫星姿态控制/GNC、制导导航与控制、伺服,五院五〇二所2027届提前批，航天器控制系统最对口院所，控制硕士优先,,https://www.gaoxiaojob.com/announcement/detail/417769.html,提前批|校园招聘,航空航天|军工/国防|科研院所,北京,2027届,
航天八院,2026-06-30,招满为止,航天器控制、飞行控制、伺服（含上海航天控制技术研究所）,航天八院(上海航天技术研究院)2027校招提前批，控制岗以官方为准,,https://www.fenbi.com/page/exam-information-detail/467289983441920,提前批|校园招聘,航空航天|军工/国防|科研院所,上海,2027届,
中国航天科工集团,2026-06-30,招满为止,制导控制、飞行控制、伺服系统、自动化测试,航天科工2027届校园招聘全面启动，官方网申系统casic.zhiye.com，导弹/航天控制系统院所对口,https://casic.zhiye.com,http://m.haerbin.offcn.com/html/2026/06/103111.html,校园招聘,航空航天|军工/国防|科研院所,北京|武汉|贵阳|呼和浩特|西安|长沙,2027届,需要笔试
航天二院,2026-03-13,招满为止,导弹制导控制、伺服、火控,航天科工二院2026校招暨2027届暑期实践招募，暑期实践/提前锁定，控制类对口,,http://www.offcn.com/sydw/2026/0313/1114277.html,提前批|校园招聘,航空航天|军工/国防|科研院所,北京,2027届,
航天三院三部,2026-08-01,招满为止,导弹制导、飞行控制、GNC,三院三部2027年度校园招聘启动，飞航导弹制导控制方向，控制硕士对口,,https://m.fenbi.com/page/exam-information-detail/468343912160256,校园招聘,航空航天|军工/国防|科研院所,北京|武汉,2027届,
中国电子科技集团,2026-08-01,招满为止,雷达伺服控制、制导、控制系统、自动化测试,中国电科2027年校园招聘提前批，要求硕士及以上学历，14/28/38/52等所均覆盖控制方向,,https://m.gwy.com/gqzp/410576.html,提前批|校园招聘,军工/国防|科研院所|电子信息,北京|南京|成都|合肥|西安|杭州,2027届,
中电科14所,2026-08-01,招满为止,雷达系统伺服控制、信号处理、制导,中电科14所暑期开放日/信息处理研究部提前批招聘宣讲，雷达伺服与运动控制对口,,https://www.wondercv.com/xiaozhao/cetc14-nanjung-summer-open-day-2027-11134-aa7a59/,提前批|校园招聘,军工/国防|科研院所|电子信息,南京,2027届,
中电科28所,2026-08-01,招满为止,指挥控制系统、自动化,28所(南京电子工程研究所)校招，C4ISR指挥控制方向，控制/自动化可投,,https://www.gaoxiaojob.com/announcement/job-list?id=408512,校园招聘,军工/国防|科研院所|电子信息,南京,2027届,
中电科38所,2026-08-01,招满为止,雷达伺服、自动化测试、控制系统,中电博微/38所2027届校园招聘启动，雷达整机与伺服控制对口,,https://pc.fenbi.com/page/exam-information-detail/468365664080896,校园招聘,军工/国防|科研院所|电子信息,合肥,2027届,
中电科52所,2026-08-01,招满为止,自动化测试、嵌入式控制,52所(杭州计算机外部设备研究所)招聘，计算机外设/自动化方向,,https://jdjyw.jlu.edu.cn/mportal/company/details?id=6d6b5a7c292041ffb969a4502a2b2c1f,校园招聘,军工/国防|科研院所|电子信息,杭州,2027届,
中国航空工业集团,2026-08-01,招满为止,飞行控制、制导、GNC、伺服、机载系统,航空工业集团2027届校园招聘，覆盖成飞/沈飞/西飞/自控所等，飞控与控制类对口,,http://liangshan.jrzp.com/nView_6D134AEE8B7317C7.shtml,校园招聘,航空航天|军工/国防,成都|沈阳|西安|北京,2027届,
沈飞,2026-08-01,招满为止,飞行控制、机载系统、自动化,沈飞2027届校园招聘，战斗机飞控/机载控制系统对口,,http://jyc.cavtc.cn/info/1004/4671.htm,校园招聘,航空航天|军工/国防,沈阳,2027届,
航空工业618所,2026-08-01,招满为止,飞行控制、制导(GNC)、伺服作动、惯性导航,618所(西安飞行自动控制研究所)，控制类专业最对口院所之一,,https://jdjyw.jlu.edu.cn/mportal/company/details?id=3921,校园招聘,航空航天|军工/国防|科研院所,西安,2027届,
中国船舶集团,2026-08-01,招满为止,运动控制、伺服、自动化,中国船舶集团2027届校园招聘，覆盖701/719/716等所，舰船自动化与控制对口,,https://dizhi.jiuyeb.cn/Zhaopin/xiaozhao.html?id=5835ad03-4022-e575-726f-c24d21fbedf9&type=1,校园招聘,军工/国防|科研院所,上海|武汉|大连|连云港,2027届,
